uid,location,age,gender,reg_channel,reg_date,outcome
211,6,25,female,9,2011-11-02,0
212,22,19,male,3,2017-01-05,1
213,21,18,male,9,2017-01-14,1
214,1,0,,7,2016-02-06,1
215,4,30,female,9,2014-10-05,1
216,1,0,,7,2015-11-01,0
217,5,18,male,9,2014-11-23,1
218,14,39,female,9,2007-02-22,1
219,1,0,,7,2011-12-20,0
220,15,0,male,3,2014-04-30,1
221,1,0,,3,2014-06-17,1
222,15,0,,3,2013-10-03,0
223,3,16,female,3,2017-01-24,1
224,1,0,,7,2011-01-20,0
225,1,0,,7,2011-02-18,0
226,13,19,male,9,2007-09-25,1
227,15,0,,9,2014-05-24,1
228,1,0,,7,2014-06-23,0
229,1,0,,7,2013-01-21,0
230,1,0,,7,2012-01-19,1
231,1,0,,7,2015-08-18,0
232,22,20,female,3,2012-04-14,1
233,21,26,male,3,2014-10-02,1
234,21,27,male,3,2014-03-25,1
235,1,0,,3,2014-04-03,1
236,5,32,male,9,2014-04-08,0
237,1,0,,7,2016-07-29,0
238,22,34,female,7,2016-08-05,0
239,1,0,,7,2011-12-22,0
240,13,19,female,9,2011-08-13,1
241,6,30,female,9,2010-10-25,0
242,13,23,male,9,2007-05-21,0
243,14,26,female,9,2009-11-13,1
244,22,37,female,9,2007-02-09,1
245,1,0,,7,2010-09-06,0
246,1,0,,7,2010-09-21,1
247,12,18,female,3,2014-11-05,1
248,4,23,male,7,2012-03-06,0
249,5,20,male,9,2007-09-12,1
250,1,0,,7,2014-05-12,1
251,4,30,female,7,2014-06-18,0
252,1,0,,7,2014-06-25,0
253,12,33,female,3,2012-05-22,1
254,7,22,male,7,2014-09-23,1
255,1,0,,7,2013-07-19,1
256,13,21,male,9,2013-08-23,1
257,6,0,,3,2013-09-09,0
258,1,0,,7,2015-09-12,1
259,1,0,,7,2014-11-26,1
260,5,0,,9,2014-07-19,1
261,17,20,male,9,2016-07-13,1
262,1,0,,4,2016-12-05,1
263,5,46,male,9,2008-01-31,0
264,12,26,male,9,2012-04-29,0
265,1,0,,7,2015-10-18,0
266,5,0,,9,2010-09-04,0
267,6,32,male,9,2007-10-28,0
268,1,0,,7,2016-02-05,0
269,8,25,male,9,2008-04-05,1
270,1,0,,7,2016-12-05,0
271,1,0,,4,2016-12-13,1
272,5,26,,3,2014-01-27,0
273,1,0,,9,2014-12-05,1
274,1,0,female,3,2014-12-13,1
275,5,27,female,7,2014-12-18,0
276,1,0,,3,2012-12-14,1
277,15,32,male,7,2010-09-17,0
278,1,0,,7,2010-10-15,0
279,4,35,female,9,2006-10-30,1
280,4,24,female,9,2007-01-16,0
281,15,36,female,9,2007-08-11,1
282,22,21,male,7,2015-08-18,1
283,4,0,,7,2015-09-02,1
284,4,25,male,3,2015-09-13,1
285,1,0,,7,2015-09-19,0
286,1,0,,7,2016-08-15,0
287,13,18,male,9,2012-05-12,0
288,13,0,,9,2014-09-13,0
289,18,29,male,9,2010-01-06,0
290,9,40,male,9,2009-04-21,1
291,13,37,male,9,2009-07-15,1
292,12,20,male,4,2015-11-14,1
293,1,0,,7,2015-11-17,0
294,1,0,,7,2015-11-07,1
295,1,0,,4,2016-07-14,1
296,1,0,,7,2016-07-14,0
297,15,31,male,9,2006-05-20,1
298,13,38,male,9,2007-02-03,0
299,1,0,,7,2014-05-29,1
300,4,33,female,9,2006-10-23,0
301,1,0,,7,2013-05-11,1
302,1,0,,7,2016-02-15,1
303,1,0,,7,2016-02-29,0
304,22,31,female,9,2011-01-16,1
305,1,0,,7,2011-02-19,1
306,13,38,male,9,2005-02-05,1
307,1,0,,3,2013-04-06,1
308,1,0,,7,2013-07-08,1
309,1,0,,7,2015-09-07,0
310,6,21,male,3,2016-11-14,1
311,1,0,,4,2016-12-06,1
312,6,20,male,9,2014-08-12,0
313,22,19,female,9,2009-09-21,0
314,1,0,,7,2016-07-31,1
315,13,31,male,9,2011-08-01,1
316,13,28,male,9,2008-09-18,0
317,4,28,female,9,2014-01-17,1
318,1,0,,7,2015-12-10,0
319,1,0,,9,2016-07-11,1
320,1,0,,9,2015-05-23,1
321,1,0,,7,2013-10-30,0
322,1,0,,7,2014-10-17,0
323,1,0,,7,2016-08-14,0
324,1,0,,7,2016-08-15,0
325,1,0,,7,2016-08-23,0
326,4,23,female,9,2014-12-19,0
327,6,47,female,3,2012-09-21,0
328,6,24,male,3,2013-07-27,1
329,5,32,female,9,2006-11-03,1
330,6,37,female,9,2007-04-09,1
331,1,0,,7,2010-12-16,0
332,1,0,,7,2011-01-05,1
333,5,23,female,7,2014-06-17,0
334,1,0,,7,2015-12-26,1
335,5,26,male,4,2016-01-07,0
336,4,22,male,4,2017-01-12,0
337,1,0,,7,2011-06-27,0
338,1,0,,3,2014-06-30,1
339,14,51,male,9,2012-10-10,1
340,22,28,male,9,2010-08-02,0
341,1,0,,7,2013-07-19,1
342,1,0,,7,2016-08-26,0
343,1,29,female,4,2016-10-21,1
344,1,0,,7,2016-10-30,0
345,1,0,,7,2014-03-08,0
346,6,23,female,9,2015-10-27,0
347,5,46,male,9,2007-10-10,0
348,1,0,,7,2014-07-17,1
349,4,27,male,9,2008-04-24,1
350,6,30,male,9,2008-11-22,1
351,1,0,,7,2013-10-17,0
352,1,0,,7,2014-02-11,0
353,1,0,,7,2014-04-16,1
354,13,24,male,3,2011-12-23,1
355,1,0,,7,2013-10-05,1
356,18,21,female,7,2013-09-15,1
357,1,0,,7,2013-12-11,0
358,6,27,female,9,2013-12-16,0
359,5,33,female,9,2011-06-26,1
360,8,23,male,3,2016-11-16,1
361,13,26,female,9,2009-08-10,0
362,15,31,male,9,2011-07-02,1
363,6,0,,9,2014-05-12,1
364,18,20,male,3,2013-01-23,1
365,4,23,female,7,2013-01-30,0
366,22,24,male,9,2009-03-15,1
367,9,27,male,9,2012-12-28,1
368,22,42,male,9,2009-05-21,0
369,6,32,female,9,2007-06-13,0
370,13,36,female,9,2007-09-10,1
371,1,0,,7,2013-11-30,0
372,22,27,male,9,2007-09-14,0
373,15,55,male,9,2006-08-22,0
374,21,35,female,9,2006-10-14,0
375,15,32,female,9,2007-03-05,1
376,6,45,female,9,2007-03-18,1
377,13,28,male,4,2016-04-19,1
378,5,32,male,9,2007-02-28,1
379,5,33,female,9,2010-01-15,1
380,5,38,male,9,2010-02-25,0
381,13,49,female,9,2013-09-07,1
382,1,0,male,3,2014-12-25,1
383,13,28,male,9,2011-05-14,0
384,1,0,,3,2014-02-13,0
385,10,23,male,3,2012-09-25,0
386,5,36,female,3,2012-10-30,1
387,5,0,,3,2013-01-01,1
388,1,0,,3,2014-07-23,1
389,1,0,,7,2016-07-07,0
390,1,0,,7,2013-07-10,0
391,1,0,,7,2012-09-21,0
392,6,30,female,9,2015-01-01,1
393,14,19,male,3,2013-04-06,1
394,8,21,male,9,2009-05-14,1
395,1,0,,7,2015-10-18,0
396,1,0,,7,2015-12-08,0
397,15,19,female,3,2012-08-06,1
398,12,21,male,3,2013-02-20,1
399,4,0,,7,2015-11-28,0
400,1,0,,7,2016-11-25,0
401,13,33,male,7,2014-05-17,1
402,1,0,,7,2013-12-09,1
403,4,25,male,4,2016-05-08,1
404,1,0,,7,2016-05-18,0
405,21,20,male,9,2015-08-05,1
406,1,0,,7,2015-08-06,0
407,1,0,,3,2014-06-30,0
408,1,0,,7,2015-11-25,0
409,1,0,,7,2015-11-21,0
410,6,42,female,9,2011-01-15,1
411,17,51,male,9,2011-01-28,1
412,1,0,,7,2010-12-01,0
413,1,0,,7,2016-11-19,0
414,1,0,,7,2016-02-06,1
415,1,0,,4,2016-02-12,1
416,1,0,,7,2015-11-08,0
417,1,0,,7,2011-06-15,1
418,5,22,female,3,2014-07-17,1
419,12,23,female,3,2012-11-28,0
420,5,38,male,3,2012-12-11,1
421,13,34,female,9,2009-03-23,1
422,1,0,,7,2016-07-10,1
423,1,0,,7,2016-07-12,0
424,3,21,female,9,2014-12-17,1
425,1,0,,7,2016-03-26,0
426,1,0,,7,2016-07-17,0
427,15,31,male,9,2006-06-19,0
428,1,0,,4,2017-01-11,1
429,15,22,female,9,2014-05-30,0
430,1,0,,7,2012-10-16,0
431,12,34,female,9,2009-05-16,1
432,1,0,,7,2014-03-03,0
433,13,27,male,9,2007-09-20,1
434,1,0,,7,2011-01-28,1
435,15,29,female,9,2011-03-01,1
436,1,0,,7,2016-02-24,0
437,15,26,male,3,2014-05-12,0
438,13,48,female,9,2009-09-14,0
439,13,37,male,9,2009-11-01,1
440,1,0,,7,2016-02-11,0
441,15,34,male,9,2014-05-10,1
442,14,28,female,9,2008-03-06,1
443,4,26,female,9,2008-06-03,1
444,15,20,male,9,2008-03-22,0
445,5,29,female,7,2014-11-24,0
446,1,0,,7,2016-04-28,0
447,13,0,,9,2016-02-05,0
448,8,26,female,9,2008-03-28,1
449,1,0,,7,2013-05-09,0
450,13,27,male,9,2009-04-01,1
451,6,0,,3,2014-06-05,1
452,1,0,,3,2014-06-08,0
453,1,0,,7,2016-03-02,0
454,1,0,,7,2016-07-06,0
455,6,32,female,9,2014-06-22,0
456,22,0,,3,2014-07-22,0
457,13,33,female,3,2012-10-12,0
458,4,21,female,3,2012-10-27,0
459,22,24,male,9,2012-11-18,0
460,15,23,female,3,2012-12-05,1
461,13,19,male,9,2007-12-29,0
462,1,0,,7,2016-07-31,0
463,1,0,,7,2016-09-19,0
464,13,17,female,4,2016-09-20,1
465,1,18,female,3,2016-09-26,1
466,22,41,female,9,2006-07-06,1
467,15,25,female,9,2006-10-07,1
468,1,0,,7,2013-07-30,1
469,1,0,,7,2013-08-12,0
470,22,32,male,3,2012-05-29,0
471,13,29,male,3,2012-07-07,0
472,1,0,,7,2012-07-09,0
473,5,47,male,9,2012-08-23,1
474,5,47,female,9,2009-11-25,0
475,1,0,,7,2014-06-26,1
476,5,34,female,9,2007-10-10,1
477,13,19,female,9,2015-01-23,0
478,1,0,,7,2012-01-11,0
479,1,0,,7,2012-01-13,0
480,12,36,female,9,2005-11-03,0
481,13,28,male,9,2005-11-25,1
482,12,28,female,9,2005-12-10,0
483,1,0,,7,2016-11-05,0
484,13,36,male,3,2015-12-16,1
485,4,24,male,9,2010-08-23,1
486,1,0,,7,2014-06-13,0
487,6,30,male,9,2008-08-13,1
488,4,0,,7,2011-02-10,0
489,1,0,,7,2016-01-17,0
490,1,0,,7,2014-12-17,0
491,13,48,female,9,2006-11-04,0
492,1,0,,9,2014-10-05,1
493,1,0,,7,2015-12-23,0
494,1,0,,7,2014-05-04,1
495,1,0,,7,2016-07-21,0
496,13,44,female,9,2016-08-09,1
497,1,0,,7,2016-08-10,0
498,22,20,female,9,2015-07-30,1
499,1,0,,7,2015-08-06,0
500,1,0,,4,2017-01-09,1
501,3,32,male,9,2011-03-13,1
502,1,0,,7,2011-07-06,0
503,6,41,female,7,2010-04-30,0
504,13,21,female,9,2009-03-29,1
505,5,51,male,9,2008-03-16,0
506,15,42,male,9,2008-11-29,1
507,12,21,male,9,2010-10-27,1
508,5,21,female,7,2010-12-08,0
509,15,29,male,7,2013-03-20,1
510,1,0,,3,2013-06-05,1
511,13,32,male,9,2005-08-24,1
512,4,44,male,9,2013-02-06,0
513,6,22,female,3,2013-07-10,0
514,1,0,,7,2013-08-06,0
515,5,31,male,9,2010-10-22,0
516,1,0,,7,2016-08-29,1
517,1,0,,7,2016-03-17,0
518,15,26,male,9,2012-03-08,0
519,1,26,male,7,2012-04-19,0
520,1,0,,7,2014-09-16,1
521,22,34,male,3,2014-09-17,0
522,15,24,female,3,2014-10-12,1
523,1,0,,9,2014-12-26,1
524,17,20,female,9,2009-08-17,0
525,15,37,female,9,2007-07-09,0
526,1,0,,7,2013-07-09,0
527,1,0,,7,2011-12-30,0
528,1,0,,7,2015-12-02,0
529,1,0,,7,2015-12-02,0
530,15,36,male,9,2004-08-31,0
531,13,21,female,9,2011-07-15,1
532,1,0,,7,2015-11-12,0
533,1,0,,7,2015-11-14,0
534,5,21,female,7,2013-11-02,0
535,13,23,female,3,2013-09-28,1
536,1,0,,3,2013-10-04,1
537,1,0,,7,2015-08-15,0
538,14,33,female,9,2006-04-16,0
539,9,30,male,7,2016-03-05,1
540,14,43,female,9,2011-06-18,1
541,9,0,female,7,2014-05-07,1
542,13,35,female,9,2007-11-16,1
543,1,0,,7,2016-07-10,0
544,1,0,,7,2016-07-13,0
545,13,35,female,9,2011-04-04,1
546,1,0,,7,2015-11-25,0
547,5,27,female,7,2014-05-24,1
548,1,0,,7,2016-01-09,1
549,13,39,female,7,2010-10-12,0
550,12,26,female,9,2007-09-11,1
551,5,33,female,9,2007-01-08,1
552,8,21,male,9,2006-12-17,1
553,9,33,female,9,2007-03-24,1
554,11,27,male,9,2010-03-12,1
555,11,34,male,7,2012-09-17,1
556,5,27,female,9,2011-02-07,1
557,1,0,,7,2011-03-21,0
558,13,0,,9,2014-11-18,0
559,15,25,male,3,2014-11-26,0
560,1,0,,9,2015-04-15,0
561,1,0,,7,2015-02-16,0
562,6,25,female,3,2015-02-22,0
563,15,28,male,9,2011-05-23,0
564,1,0,,7,2014-07-18,0
565,5,40,female,9,2013-06-10,1
566,1,0,,7,2013-07-20,0
567,21,0,,3,2013-07-21,1
568,1,0,,7,2013-07-30,0
569,18,40,male,7,2013-08-10,1
570,13,69,male,3,2014-08-08,1
571,13,28,male,9,2004-07-23,1
572,5,29,female,9,2014-08-23,1
573,5,0,female,3,2014-08-28,0
574,5,30,female,3,2014-10-03,1
575,1,0,,7,2013-11-26,0
576,6,28,female,9,2004-03-28,1
577,15,28,male,9,2009-04-21,1
578,1,0,,7,2016-08-29,0
579,1,0,,7,2011-01-23,0
580,1,34,male,4,2016-11-25,1
581,15,0,,9,2015-06-16,1
582,12,24,male,7,2011-06-15,1
583,18,38,male,7,2011-07-15,0
584,11,25,female,3,2015-06-10,1
585,1,0,,7,2014-06-30,0
586,5,47,male,9,2006-10-21,1
587,9,39,male,9,2006-10-26,0
588,21,22,female,9,2007-04-16,1
589,1,0,,7,2010-04-16,0
590,1,0,,7,2016-08-07,0
591,1,0,,4,2016-08-13,1
592,4,32,male,7,2010-06-24,0
593,1,0,,7,2012-02-08,0
594,1,0,,3,2014-07-28,1
595,4,26,male,9,2011-06-27,0
596,10,23,female,3,2012-09-22,0
597,1,0,,9,2017-01-08,1
598,6,31,female,9,2017-01-10,0
599,1,0,,4,2017-01-14,1
600,1,0,,4,2017-01-21,1
601,1,0,,7,2013-08-07,1
602,1,0,,7,2013-08-07,1
603,4,32,male,9,2008-01-18,1
604,13,23,female,9,2008-11-04,0
605,15,33,female,9,2015-09-26,0
606,13,42,female,7,2012-02-18,1
607,4,29,,7,2011-09-16,1
608,5,19,male,9,2010-06-07,0
609,6,32,male,7,2010-06-23,1
610,1,0,,7,2013-06-13,1
611,13,24,female,3,2012-10-21,0
612,1,0,,7,2012-08-11,0
613,1,0,,7,2016-06-04,0
614,1,0,,9,2016-06-21,1
615,4,26,male,3,2012-11-04,0
616,1,32,female,7,2013-01-05,1
617,22,0,male,3,2013-12-19,1
618,13,32,male,9,2013-12-27,0
619,1,0,,7,2016-01-18,1
620,1,0,,7,2014-06-27,0
621,5,0,female,3,2014-05-03,1
622,1,0,,3,2014-05-10,0
623,15,27,male,9,2006-01-08,0
624,13,25,female,9,2006-01-22,0
625,1,0,,7,2014-12-13,0
626,13,22,male,9,2010-10-28,0
627,4,24,male,7,2013-10-03,0
628,1,0,,3,2013-10-08,1
629,1,0,,7,2012-12-24,0
630,1,0,,7,2014-01-02,1
631,13,30,female,9,2009-08-28,0
632,1,0,,7,2011-08-11,0
633,1,0,,4,2017-01-24,1
634,1,0,,7,2017-01-31,0
635,4,26,male,9,2008-01-31,1
636,15,20,female,3,2013-08-14,1
637,13,20,male,3,2012-12-07,1
638,5,0,,3,2012-12-23,1
639,1,0,,7,2013-01-14,0
640,9,0,,7,2011-05-13,0
641,5,23,female,7,2014-02-03,0
642,10,23,male,3,2013-07-06,0
643,6,21,male,9,2009-02-28,1
644,18,39,female,3,2013-08-11,1
645,1,29,male,4,2016-12-10,1
646,13,22,female,9,2008-07-02,0
647,22,22,female,9,2007-06-16,0
648,8,24,male,3,2014-06-22,1
649,15,20,female,3,2014-06-02,1
650,5,57,male,3,2014-06-12,0
651,10,18,female,4,2015-12-05,0
652,1,0,,7,2014-01-15,0
653,1,0,,7,2016-03-19,1
654,15,23,female,9,2009-09-02,1
655,12,0,,9,2010-10-18,1
656,4,30,female,9,2013-07-31,0
657,1,0,,7,2013-08-15,0
658,22,38,female,9,2011-01-08,1
659,1,0,,7,2011-05-20,0
660,6,35,female,9,2005-10-12,0
661,5,38,female,3,2014-10-23,1
662,5,0,,9,2014-10-26,0
663,6,26,male,3,2014-11-08,1
664,12,29,male,9,2008-04-25,0
665,11,32,female,9,2008-08-07,1
666,13,17,female,7,2016-01-31,0
667,1,0,,7,2016-02-16,1
668,1,0,,7,2016-01-27,1
669,4,26,male,9,2016-01-07,1
670,15,24,female,7,2014-06-26,1
671,15,0,,3,2014-06-30,1
672,1,0,,9,2014-06-16,1
673,4,29,female,4,2015-12-04,0
674,13,31,,4,2015-12-12,1
675,1,0,,7,2016-02-06,1
676,1,26,female,4,2016-02-07,1
677,13,0,female,4,2017-01-15,0
678,1,0,,7,2013-08-07,0
679,1,0,,7,2016-01-31,1
680,13,33,male,9,2008-12-30,0
681,5,19,female,7,2014-11-22,1
682,1,0,,9,2014-08-26,1
683,1,0,,7,2016-07-09,0
684,6,27,,7,2012-06-04,1
685,1,0,,7,2013-01-07,0
686,1,0,,7,2013-01-07,0
687,1,0,,7,2016-03-12,0
688,4,19,female,3,2016-05-28,1
689,13,26,female,4,2016-06-09,1
690,13,0,male,3,2014-08-24,0
691,5,37,male,3,2014-08-27,0
692,22,60,female,7,2016-12-14,0
693,11,26,female,9,2007-06-17,0
694,10,30,male,9,2007-07-05,1
695,13,28,male,9,2007-12-07,1
696,1,0,,7,2013-05-14,0
697,22,35,male,3,2013-06-13,1
698,1,0,,7,2014-05-09,1
699,12,28,male,9,2006-12-13,0
700,13,20,female,9,2015-05-12,1
701,1,0,,7,2015-07-08,0
702,1,0,,7,2015-07-14,0
703,13,32,male,9,2015-08-21,1
704,1,0,,7,2015-12-04,0
705,1,0,,7,2011-01-06,0
706,13,23,male,9,2013-10-14,1
707,13,36,male,9,2007-07-08,1
708,13,40,female,9,2011-10-13,0
709,1,0,,7,2011-10-18,1
710,13,26,male,9,2014-10-30,1
711,1,0,,7,2015-07-11,0
712,6,0,,7,2012-10-02,0
713,1,0,,7,2015-12-25,0
714,5,0,,3,2013-07-14,0
715,13,33,female,3,2013-08-24,1
716,14,35,male,9,2014-11-03,1
717,13,25,male,9,2006-10-06,1
718,1,0,,9,2014-10-04,1
719,13,22,female,3,2012-07-05,1
720,4,18,male,9,2014-11-24,0
721,15,70,male,9,2005-06-02,1
722,17,28,male,9,2005-09-20,0
723,13,34,male,7,2012-01-17,1
724,1,0,,7,2012-03-03,0
725,13,24,female,3,2012-06-11,0
726,13,37,female,3,2012-06-29,1
727,4,43,male,3,2012-09-24,0
728,1,0,,7,2016-08-24,0
729,1,0,,7,2016-09-24,0
730,1,0,,7,2016-11-26,0
731,1,0,,7,2016-12-05,0
732,1,0,,7,2014-05-15,0
733,1,0,,7,2011-07-29,0
734,5,40,female,7,2012-07-31,0
735,5,18,female,4,2016-04-04,1
736,1,0,,7,2016-12-29,0
737,11,24,male,7,2017-01-26,0
738,4,34,male,7,2016-11-20,0
739,6,27,male,9,2011-01-02,1
740,9,23,male,9,2007-09-01,0
741,13,35,female,9,2009-06-09,1
742,1,0,,7,2016-11-06,0
743,1,0,,7,2013-10-19,1
744,1,0,,9,2016-10-06,0
745,5,23,female,9,2014-05-23,0
746,5,0,,9,2014-12-30,1
747,1,0,,9,2015-04-14,1
748,1,0,,7,2010-06-01,0
749,5,23,male,9,2010-07-29,1
750,1,0,,7,2014-06-18,0
